UserID,MovieID,Rating
1,914,4.0
1,2018,4.0
1,2797,4.118927439404599
1,1270,4.416666666666667
1,1545,4.0
1,1566,4.204178004095564
1,588,4.0
1,1907,4.416666666666667
1,2762,4.111111111111111
1,1962,4.5
1,1028,4.5
2,3030,2.555
2,1253,3.0
2,1259,4.333333333333333
2,1188,2.6666666666666665
2,1690,4.333333333333333
2,3654,2.555
2,2312,4.333333333333333
2,1370,3.0
2,1801,3.727272727272727
2,590,3.3333333333333335
2,593,3.0
2,95,4.0
2,1917,3.3333333333333335
2,1953,3.5
2,1124,3.3333333333333335
2,165,3.5
2,2321,4.5
2,1090,4.333333333333333
2,457,3.0
2,1527,4.5
2,3451,2.555
2,3095,2.555
2,2728,3.727272727272727
2,1784,4.333333333333333
2,1968,3.5
2,1246,4.333333333333333
3,648,4.0
3,1580,3.0
3,260,4.0
3,1049,4.0
3,733,4.0
3,1198,3.9477963110305136
3,1378,3.0
3,1304,4.0
3,2617,4.0
3,2006,3.0
4,2951,2.555
4,2028,3.0
4,3702,2.555
4,2947,2.555
5,1175,3.6666666666666665
5,1759,2.888888888888889
5,581,4.0
5,150,3.6666666666666665
5,515,3.357142857142857
5,50,3.0
5,377,3.357142857142857
5,1268,3.0
5,1912,3.0
5,2359,3.0
5,2289,3.857142857142857
5,1704,3.0
5,1279,3.0
5,2721,3.0
5,968,3.0
5,3020,2.555
5,318,3.357142857142857
5,176,3.6666666666666665
5,461,3.0
5,608,3.6666666666666665
5,1715,3.6666666666666665
5,3176,2.555
5,1719,3.6666666666666665
5,1649,3.0
5,2013,3.6666666666666665
5,2952,2.555
5,3105,2.555
5,1650,3.6666666666666665
5,908,3.0
5,1653,3.6666666666666665
5,2029,3.096774193548387
5,1734,2.0
5,1884,3.0
5,1093,4.0
5,1095,3.0
5,1966,3.857142857142857
5,32,3.6666666666666665
5,3786,2.555
5,357,3.0
5,36,3.6666666666666665
6,1688,4.333333333333333
6,1188,4.0
6,588,3.3333333333333335
6,1,4.0
6,2858,4.333333333333333
6,2506,4.0
6,3600,2.555
6,3536,2.555
6,1947,3.0
6,2966,2.555
6,1806,3.0
6,2100,3.3333333333333335
6,569,3.0
6,34,3.3333333333333335
7,2916,2.555
7,589,5.0
7,2571,4.4
7,457,4.4721438198830565
7,480,4.5
7,3418,2.555
8,3148,2.555
8,150,4.7
8,1621,5.0
8,3155,2.555
8,1120,4.0
8,161,4.0
8,1411,5.0
8,1274,4.0
8,1704,5.0
8,465,3.0
8,1711,4.7
8,538,4.0
8,3246,2.555
8,1213,5.0
8,3105,2.555
8,3252,2.555
8,2023,4.7
8,2028,4.7
8,480,4.0
8,1801,3.8666666666666667
8,1730,3.709001783529371
8,3265,2.555
8,24,4.0
8,25,5.0
8,562,4.7
8,2541,3.8666666666666667
8,1678,4.7
8,282,4.7
9,3298,2.555
9,3510,2.555
9,593,5.0
9,1777,3.994993312527017
9,745,3.6
9,3452,2.555
9,1921,4.0
9,1358,4.0
9,1500,4.0
9,1148,3.5714285714285716
9,1653,3.5714285714285716
9,2890,2.555
9,3114,2.555
9,1089,4.0
9,3408,2.555
9,3916,2.555
9,25,4.0
9,2324,4.0
9,349,3.9323884111552294
9,3270,2.555
9,1961,3.5714285714285716
10,648,4.4
10,2628,4.052631578947368
